Well,Sample
A01,Grafton growth / M119
A05,Grafton growth / M119 + suppliments
A02,Grafton growth / M199 + 10% Serum equivelent
A06,Grafton growth / M199 + 1mg/ml BSA
A03,Grafton growth / AIM-V
A07,Grafton growth / Grafton 100% Replacement
A04,Grafton growth / Grafton 50% Addition
A08,Grafton growth / Media Only Control
B01,SBS growth /M119
B05,SBS growth / M119 + suppliments
B02,SBS growth / M199 + 10% Serum equivelent
B06,SBS growth / M199 + 1mg/ml BSA
B03,SBS growth / AIM-V
B07,SBS growth / SBS 100% Replacement
B04,SBS growth / SBS 50% Addition
B08,SBS growth / Media Only Control
